departamento,provincia,ano,SIN_SEÑALES,ALARMA,GRAVE
AMAZONAS,ALTO AMAZONAS,2000,0,0,0
AMAZONAS,ALTO AMAZONAS,2001,0,0,0
AMAZONAS,ALTO AMAZONAS,2002,0,0,0
AMAZONAS,ALTO AMAZONAS,2003,0,0,0
AMAZONAS,ALTO AMAZONAS,2004,0,0,0
AMAZONAS,ALTO AMAZONAS,2005,0,0,0
AMAZONAS,ALTO AMAZONAS,2006,0,0,0
AMAZONAS,ALTO AMAZONAS,2007,0,0,0
AMAZONAS,ALTO AMAZONAS,2008,0,0,0
AMAZONAS,ALTO AMAZONAS,2009,0,0,0
AMAZONAS,ALTO AMAZONAS,2010,0,0,0
AMAZONAS,ALTO AMAZONAS,2011,0,0,0
AMAZONAS,ALTO AMAZONAS,2012,0,0,0
AMAZONAS,ALTO AMAZONAS,2013,0,0,0
AMAZONAS,ALTO AMAZONAS,2014,0,0,0
AMAZONAS,ALTO AMAZONAS,2015,0,0,0
AMAZONAS,ALTO AMAZONAS,2016,0,0,0
AMAZONAS,ALTO AMAZONAS,2017,0,0,0
AMAZONAS,ALTO AMAZONAS,2018,0,0,0
AMAZONAS,ALTO AMAZONAS,2019,0,0,0
AMAZONAS,ALTO AMAZONAS,2020,0,0,0
AMAZONAS,ALTO AMAZONAS,2021,0,0,0
AMAZONAS,ALTO AMAZONAS,2022,0,0,0
AMAZONAS,AMBO,2000,0,0,0
AMAZONAS,AMBO,2001,0,0,0
AMAZONAS,AMBO,2002,0,0,0
AMAZONAS,AMBO,2003,0,0,0
AMAZONAS,AMBO,2004,0,0,0
AMAZONAS,AMBO,2005,0,0,0
AMAZONAS,AMBO,2006,0,0,0
AMAZONAS,AMBO,2007,0,0,0
AMAZONAS,AMBO,2008,0,0,0
AMAZONAS,AMBO,2009,0,0,0
AMAZONAS,AMBO,2010,0,0,0
AMAZONAS,AMBO,2011,0,0,0
AMAZONAS,AMBO,2012,0,0,0
AMAZONAS,AMBO,2013,0,0,0
AMAZONAS,AMBO,2014,0,0,0
AMAZONAS,AMBO,2015,0,0,0
AMAZONAS,AMBO,2016,0,0,0
AMAZONAS,AMBO,2017,0,0,0
AMAZONAS,AMBO,2018,0,0,0
AMAZONAS,AMBO,2019,0,0,0
AMAZONAS,AMBO,2020,0,0,0
AMAZONAS,AMBO,2021,0,0,0
AMAZONAS,AMBO,2022,0,0,0
AMAZONAS,AREQUIPA,2000,0,0,0
AMAZONAS,AREQUIPA,2001,0,0,0
AMAZONAS,AREQUIPA,2002,0,0,0
AMAZONAS,AREQUIPA,2003,0,0,0
AMAZONAS,AREQUIPA,2004,0,0,0
AMAZONAS,AREQUIPA,2005,0,0,0
AMAZONAS,AREQUIPA,2006,0,0,0
AMAZONAS,AREQUIPA,2007,0,0,0
AMAZONAS,AREQUIPA,2008,0,0,0
AMAZONAS,AREQUIPA,2009,0,0,0
AMAZONAS,AREQUIPA,2010,0,0,0
AMAZONAS,AREQUIPA,2011,0,0,0
AMAZONAS,AREQUIPA,2012,0,0,0
AMAZONAS,AREQUIPA,2013,0,0,0
AMAZONAS,AREQUIPA,2014,0,0,0
AMAZONAS,AREQUIPA,2015,0,0,0
AMAZONAS,AREQUIPA,2016,0,0,0
AMAZONAS,AREQUIPA,2017,0,0,0
AMAZONAS,AREQUIPA,2018,0,0,0
AMAZONAS,AREQUIPA,2019,0,0,0
AMAZONAS,AREQUIPA,2020,0,0,0
AMAZONAS,AREQUIPA,2021,0,0,0
AMAZONAS,AREQUIPA,2022,0,0,0
AMAZONAS,ASCOPE,2000,0,0,0
AMAZONAS,ASCOPE,2001,0,0,0
AMAZONAS,ASCOPE,2002,0,0,0
AMAZONAS,ASCOPE,2003,0,0,0
AMAZONAS,ASCOPE,2004,0,0,0
AMAZONAS,ASCOPE,2005,0,0,0
AMAZONAS,ASCOPE,2006,0,0,0
AMAZONAS,ASCOPE,2007,0,0,0
AMAZONAS,ASCOPE,2008,0,0,0
AMAZONAS,ASCOPE,2009,0,0,0
AMAZONAS,ASCOPE,2010,0,0,0
AMAZONAS,ASCOPE,2011,0,0,0
AMAZONAS,ASCOPE,2012,0,0,0
AMAZONAS,ASCOPE,2013,0,0,0
AMAZONAS,ASCOPE,2014,0,0,0
AMAZONAS,ASCOPE,2015,0,0,0
AMAZONAS,ASCOPE,2016,0,0,0
AMAZONAS,ASCOPE,2017,0,0,0
AMAZONAS,ASCOPE,2018,0,0,0
AMAZONAS,ASCOPE,2019,0,0,0
AMAZONAS,ASCOPE,2020,0,0,0
AMAZONAS,ASCOPE,2021,0,0,0
AMAZONAS,ASCOPE,2022,0,0,0
AMAZONAS,ATALAYA,2000,0,0,0
AMAZONAS,ATALAYA,2001,0,0,0
AMAZONAS,ATALAYA,2002,0,0,0
AMAZONAS,ATALAYA,2003,0,0,0
AMAZONAS,ATALAYA,2004,0,0,0
AMAZONAS,ATALAYA,2005,0,0,0
AMAZONAS,ATALAYA,2006,0,0,0
AMAZONAS,ATALAYA,2007,0,0,0
AMAZONAS,ATALAYA,2008,0,0,0
AMAZONAS,ATALAYA,2009,0,0,0
AMAZONAS,ATALAYA,2010,0,0,0
AMAZONAS,ATALAYA,2011,0,0,0
AMAZONAS,ATALAYA,2012,0,0,0
AMAZONAS,ATALAYA,2013,0,0,0
AMAZONAS,ATALAYA,2014,0,0,0
AMAZONAS,ATALAYA,2015,0,0,0
AMAZONAS,ATALAYA,2016,0,0,0
AMAZONAS,ATALAYA,2017,0,0,0
AMAZONAS,ATALAYA,2018,0,0,0
AMAZONAS,ATALAYA,2019,0,0,0
AMAZONAS,ATALAYA,2020,0,0,0
AMAZONAS,ATALAYA,2021,0,0,0
AMAZONAS,ATALAYA,2022,0,0,0
AMAZONAS,AYABACA,2000,0,0,0
AMAZONAS,AYABACA,2001,0,0,0
AMAZONAS,AYABACA,2002,0,0,0
AMAZONAS,AYABACA,2003,0,0,0
AMAZONAS,AYABACA,2004,0,0,0
AMAZONAS,AYABACA,2005,0,0,0
AMAZONAS,AYABACA,2006,0,0,0
AMAZONAS,AYABACA,2007,0,0,0
AMAZONAS,AYABACA,2008,0,0,0
AMAZONAS,AYABACA,2009,0,0,0
AMAZONAS,AYABACA,2010,0,0,0
AMAZONAS,AYABACA,2011,0,0,0
AMAZONAS,AYABACA,2012,0,0,0
AMAZONAS,AYABACA,2013,0,0,0
AMAZONAS,AYABACA,2014,0,0,0
AMAZONAS,AYABACA,2015,0,0,0
AMAZONAS,AYABACA,2016,0,0,0
AMAZONAS,AYABACA,2017,0,0,0
AMAZONAS,AYABACA,2018,0,0,0
AMAZONAS,AYABACA,2019,0,0,0
AMAZONAS,AYABACA,2020,0,0,0
AMAZONAS,AYABACA,2021,0,0,0
AMAZONAS,AYABACA,2022,0,0,0
AMAZONAS,BAGUA,2000,215,0,0
AMAZONAS,BAGUA,2001,373,0,0
AMAZONAS,BAGUA,2002,20,0,0
AMAZONAS,BAGUA,2003,82,0,0
AMAZONAS,BAGUA,2004,116,0,0
AMAZONAS,BAGUA,2005,49,0,0
AMAZONAS,BAGUA,2006,11,0,0
AMAZONAS,BAGUA,2007,34,0,0
AMAZONAS,BAGUA,2008,294,0,0
AMAZONAS,BAGUA,2009,91,0,0
AMAZONAS,BAGUA,2010,154,0,0
AMAZONAS,BAGUA,2011,180,2,10
AMAZONAS,BAGUA,2012,290,53,9
AMAZONAS,BAGUA,2013,64,1,1
AMAZONAS,BAGUA,2014,52,3,0
AMAZONAS,BAGUA,2015,8,0,0
AMAZONAS,BAGUA,2016,22,0,0
AMAZONAS,BAGUA,2017,55,0,0
AMAZONAS,BAGUA,2018,89,1,0
AMAZONAS,BAGUA,2019,119,5,0
AMAZONAS,BAGUA,2020,242,22,2
AMAZONAS,BAGUA,2021,769,63,1
AMAZONAS,BAGUA,2022,1828,153,5
AMAZONAS,BELLAVISTA,2000,0,0,0
AMAZONAS,BELLAVISTA,2001,0,0,0
AMAZONAS,BELLAVISTA,2002,0,0,0
AMAZONAS,BELLAVISTA,2003,0,0,0
AMAZONAS,BELLAVISTA,2004,0,0,0
AMAZONAS,BELLAVISTA,2005,0,0,0
AMAZONAS,BELLAVISTA,2006,0,0,0
AMAZONAS,BELLAVISTA,2007,0,0,0
AMAZONAS,BELLAVISTA,2008,0,0,0
AMAZONAS,BELLAVISTA,2009,0,0,0
AMAZONAS,BELLAVISTA,2010,0,0,0
AMAZONAS,BELLAVISTA,2011,0,0,0
AMAZONAS,BELLAVISTA,2012,0,0,0
AMAZONAS,BELLAVISTA,2013,0,0,0
AMAZONAS,BELLAVISTA,2014,0,0,0
AMAZONAS,BELLAVISTA,2015,0,0,0
AMAZONAS,BELLAVISTA,2016,0,0,0
AMAZONAS,BELLAVISTA,2017,0,0,0
AMAZONAS,BELLAVISTA,2018,0,0,0
AMAZONAS,BELLAVISTA,2019,0,0,0
AMAZONAS,BELLAVISTA,2020,0,0,0
AMAZONAS,BELLAVISTA,2021,0,0,0
AMAZONAS,BELLAVISTA,2022,0,0,0
AMAZONAS,BONGARA,2000,0,0,0
AMAZONAS,BONGARA,2001,0,0,0
AMAZONAS,BONGARA,2002,0,0,0
AMAZONAS,BONGARA,2003,0,0,0
AMAZONAS,BONGARA,2004,0,0,0
AMAZONAS,BONGARA,2005,0,0,0
AMAZONAS,BONGARA,2006,0,0,0
AMAZONAS,BONGARA,2007,0,0,0
AMAZONAS,BONGARA,2008,0,0,0
AMAZONAS,BONGARA,2009,0,0,0
AMAZONAS,BONGARA,2010,0,0,0
AMAZONAS,BONGARA,2011,0,0,0
AMAZONAS,BONGARA,2012,0,0,0
AMAZONAS,BONGARA,2013,0,0,0
AMAZONAS,BONGARA,2014,0,0,0
AMAZONAS,BONGARA,2015,0,0,0
AMAZONAS,BONGARA,2016,0,0,0
AMAZONAS,BONGARA,2017,1,0,0
AMAZONAS,BONGARA,2018,0,0,0
AMAZONAS,BONGARA,2019,0,0,0
AMAZONAS,BONGARA,2020,0,0,0
AMAZONAS,BONGARA,2021,2,0,0
AMAZONAS,BONGARA,2022,1,0,0
AMAZONAS,CAJAMARCA,2000,0,0,0
AMAZONAS,CAJAMARCA,2001,0,0,0
AMAZONAS,CAJAMARCA,2002,0,0,0
AMAZONAS,CAJAMARCA,2003,0,0,0
AMAZONAS,CAJAMARCA,2004,0,0,0
AMAZONAS,CAJAMARCA,2005,0,0,0
AMAZONAS,CAJAMARCA,2006,0,0,0
AMAZONAS,CAJAMARCA,2007,0,0,0
AMAZONAS,CAJAMARCA,2008,0,0,0
AMAZONAS,CAJAMARCA,2009,0,0,0
AMAZONAS,CAJAMARCA,2010,0,0,0
AMAZONAS,CAJAMARCA,2011,0,0,0
AMAZONAS,CAJAMARCA,2012,0,0,0
AMAZONAS,CAJAMARCA,2013,0,0,0
AMAZONAS,CAJAMARCA,2014,0,0,0
AMAZONAS,CAJAMARCA,2015,0,0,0
AMAZONAS,CAJAMARCA,2016,0,0,0
AMAZONAS,CAJAMARCA,2017,0,0,0
AMAZONAS,CAJAMARCA,2018,0,0,0
AMAZONAS,CAJAMARCA,2019,0,0,0
AMAZONAS,CAJAMARCA,2020,0,0,0
AMAZONAS,CAJAMARCA,2021,0,0,0
AMAZONAS,CAJAMARCA,2022,0,0,0
AMAZONAS,CALCA,2000,0,0,0
AMAZONAS,CALCA,2001,0,0,0
AMAZONAS,CALCA,2002,0,0,0
AMAZONAS,CALCA,2003,0,0,0
AMAZONAS,CALCA,2004,0,0,0
AMAZONAS,CALCA,2005,0,0,0
AMAZONAS,CALCA,2006,0,0,0
AMAZONAS,CALCA,2007,0,0,0
AMAZONAS,CALCA,2008,0,0,0
AMAZONAS,CALCA,2009,0,0,0
AMAZONAS,CALCA,2010,0,0,0
AMAZONAS,CALCA,2011,0,0,0
AMAZONAS,CALCA,2012,0,0,0
AMAZONAS,CALCA,2013,0,0,0
AMAZONAS,CALCA,2014,0,0,0
