departamento,provincia,ano,semana,meanAge_SIN_SEÑALES,meanAge_ALARMA,meanAge_GRAVE,medianAge_SIN_SEÑALES,medianAge_ALARMA,medianAge_GRAVE,sumCases_SIN_SEÑALES,sumCases_ALARMA,sumCases_GRAVE
AMAZONAS,BAGUA,2000,18,34.35294117647059,,,32.0,,,17.0,,
AMAZONAS,BAGUA,2000,19,29.825,,,27.0,,,40.0,,
AMAZONAS,BAGUA,2000,20,35.172413793103445,,,33.5,,,58.0,,
AMAZONAS,BAGUA,2000,21,37.44444444444444,,,37.0,,,27.0,,
AMAZONAS,BAGUA,2000,22,30.708333333333332,,,30.5,,,24.0,,
AMAZONAS,BAGUA,2000,23,26.15,,,22.5,,,20.0,,
AMAZONAS,BAGUA,2000,24,30.8,,,28.5,,,10.0,,
AMAZONAS,BAGUA,2000,25,26.75,,,22.5,,,4.0,,
AMAZONAS,BAGUA,2000,26,43.0,,,43.0,,,1.0,,
AMAZONAS,BAGUA,2000,27,26.545454545454547,,,25.0,,,11.0,,
AMAZONAS,BAGUA,2000,28,31.5,,,31.5,,,2.0,,
AMAZONAS,BAGUA,2000,29,31.0,,,31.0,,,1.0,,
AMAZONAS,BAGUA,2001,4,43.0,,,43.0,,,1.0,,
AMAZONAS,BAGUA,2001,5,33.0,,,33.0,,,2.0,,
AMAZONAS,BAGUA,2001,6,37.0,,,30.0,,,3.0,,
AMAZONAS,BAGUA,2001,7,33.45454545454545,,,27.0,,,11.0,,
AMAZONAS,BAGUA,2001,8,32.42857142857143,,,31.5,,,14.0,,
AMAZONAS,BAGUA,2001,9,35.333333333333336,,,35.0,,,27.0,,
AMAZONAS,BAGUA,2001,10,32.90909090909091,,,31.0,,,22.0,,
AMAZONAS,BAGUA,2001,11,32.19230769230769,,,30.5,,,26.0,,
AMAZONAS,BAGUA,2001,12,32.44117647058823,,,30.0,,,34.0,,
AMAZONAS,BAGUA,2001,13,30.433333333333334,,,27.5,,,30.0,,
AMAZONAS,BAGUA,2001,14,33.88235294117647,,,24.0,,,17.0,,
AMAZONAS,BAGUA,2001,15,27.41176470588235,,,32.0,,,17.0,,
AMAZONAS,BAGUA,2001,16,29.444444444444443,,,28.0,,,27.0,,
AMAZONAS,BAGUA,2001,17,28.192307692307693,,,19.5,,,26.0,,
AMAZONAS,BAGUA,2001,18,30.794117647058822,,,23.5,,,34.0,,
AMAZONAS,BAGUA,2001,19,24.88888888888889,,,21.5,,,18.0,,
AMAZONAS,BAGUA,2001,20,25.09090909090909,,,25.0,,,22.0,,
AMAZONAS,BAGUA,2001,21,27.272727272727273,,,18.0,,,11.0,,
AMAZONAS,BAGUA,2001,22,22.333333333333332,,,18.5,,,6.0,,
AMAZONAS,BAGUA,2001,23,15.333333333333334,,,13.0,,,3.0,,
AMAZONAS,BAGUA,2001,24,41.0,,,40.0,,,3.0,,
AMAZONAS,BAGUA,2001,25,53.0,,,53.0,,,1.0,,
AMAZONAS,BAGUA,2001,28,19.0,,,19.0,,,1.0,,
AMAZONAS,BAGUA,2001,29,10.0,,,10.0,,,1.0,,
AMAZONAS,BAGUA,2001,35,6.0,,,6.0,,,1.0,,
AMAZONAS,BAGUA,2001,36,32.0,,,32.0,,,2.0,,
AMAZONAS,BAGUA,2001,37,24.25,,,24.0,,,4.0,,
AMAZONAS,BAGUA,2001,38,2.0,,,2.0,,,1.0,,
AMAZONAS,BAGUA,2001,39,29.6,,,31.0,,,5.0,,
AMAZONAS,BAGUA,2001,40,4.5,,,4.5,,,2.0,,
AMAZONAS,BAGUA,2001,46,30.0,,,30.0,,,1.0,,
AMAZONAS,BAGUA,2002,18,41.0,,,41.0,,,1.0,,
AMAZONAS,BAGUA,2002,29,50.0,,,50.0,,,1.0,,
AMAZONAS,BAGUA,2002,30,7.0,,,7.0,,,1.0,,
AMAZONAS,BAGUA,2002,36,12.0,,,12.0,,,1.0,,
AMAZONAS,BAGUA,2002,37,25.0,,,25.0,,,1.0,,
AMAZONAS,BAGUA,2002,42,23.0,,,23.0,,,1.0,,
AMAZONAS,BAGUA,2002,43,56.0,,,56.0,,,2.0,,
AMAZONAS,BAGUA,2002,44,24.25,,,19.5,,,4.0,,
AMAZONAS,BAGUA,2002,45,23.0,,,24.0,,,3.0,,
AMAZONAS,BAGUA,2002,46,25.5,,,27.0,,,4.0,,
AMAZONAS,BAGUA,2002,49,27.0,,,27.0,,,1.0,,
AMAZONAS,BAGUA,2003,1,25.5,,,26.0,,,4.0,,
AMAZONAS,BAGUA,2003,2,25.5,,,22.0,,,8.0,,
AMAZONAS,BAGUA,2003,3,29.4,,,29.5,,,10.0,,
AMAZONAS,BAGUA,2003,4,34.666666666666664,,,31.5,,,12.0,,
AMAZONAS,BAGUA,2003,5,29.2,,,27.0,,,5.0,,
AMAZONAS,BAGUA,2003,6,22.333333333333332,,,21.5,,,6.0,,
AMAZONAS,BAGUA,2003,7,28.0,,,29.0,,,5.0,,
AMAZONAS,BAGUA,2003,8,20.666666666666668,,,26.0,,,3.0,,
AMAZONAS,BAGUA,2003,9,41.0,,,41.0,,,1.0,,
AMAZONAS,BAGUA,2003,14,39.0,,,39.0,,,2.0,,
AMAZONAS,BAGUA,2003,16,29.0,,,29.0,,,2.0,,
AMAZONAS,BAGUA,2003,23,58.0,,,58.0,,,1.0,,
AMAZONAS,BAGUA,2003,24,39.333333333333336,,,36.0,,,3.0,,
AMAZONAS,BAGUA,2003,25,38.0,,,39.0,,,3.0,,
AMAZONAS,BAGUA,2003,27,46.5,,,46.5,,,2.0,,
AMAZONAS,BAGUA,2003,31,11.0,,,11.0,,,1.0,,
AMAZONAS,BAGUA,2003,32,33.25,,,31.0,,,4.0,,
AMAZONAS,BAGUA,2003,33,27.0,,,29.0,,,3.0,,
AMAZONAS,BAGUA,2003,34,34.0,,,33.0,,,3.0,,
AMAZONAS,BAGUA,2003,37,25.5,,,25.5,,,2.0,,
AMAZONAS,BAGUA,2003,39,20.0,,,20.0,,,1.0,,
AMAZONAS,BAGUA,2003,45,30.0,,,30.0,,,1.0,,
AMAZONAS,BAGUA,2004,1,26.0,,,26.0,,,1.0,,
AMAZONAS,BAGUA,2004,3,38.0,,,38.0,,,1.0,,
AMAZONAS,BAGUA,2004,4,53.0,,,53.0,,,1.0,,
AMAZONAS,BAGUA,2004,6,29.333333333333332,,,32.0,,,3.0,,
AMAZONAS,BAGUA,2004,11,20.0,,,20.0,,,1.0,,
AMAZONAS,BAGUA,2004,12,24.0,,,24.0,,,2.0,,
AMAZONAS,BAGUA,2004,15,52.5,,,52.5,,,2.0,,
AMAZONAS,BAGUA,2004,18,37.5,,,37.5,,,2.0,,
AMAZONAS,BAGUA,2004,19,32.0,,,32.0,,,1.0,,
AMAZONAS,BAGUA,2004,25,59.0,,,59.0,,,1.0,,
AMAZONAS,BAGUA,2004,27,24.0,,,24.0,,,1.0,,
AMAZONAS,BAGUA,2004,28,10.0,,,10.0,,,1.0,,
AMAZONAS,BAGUA,2004,32,28.0,,,28.0,,,2.0,,
AMAZONAS,BAGUA,2004,33,31.0,,,29.0,,,5.0,,
AMAZONAS,BAGUA,2004,34,39.666666666666664,,,41.5,,,6.0,,
AMAZONAS,BAGUA,2004,35,17.333333333333332,,,16.5,,,6.0,,
AMAZONAS,BAGUA,2004,36,29.125,,,25.0,,,8.0,,
AMAZONAS,BAGUA,2004,37,27.818181818181817,,,29.0,,,11.0,,
AMAZONAS,BAGUA,2004,38,34.7,,,31.0,,,10.0,,
AMAZONAS,BAGUA,2004,39,37.578947368421055,,,39.0,,,19.0,,
AMAZONAS,BAGUA,2004,40,32.5,,,34.5,,,16.0,,
AMAZONAS,BAGUA,2004,41,17.25,,,16.0,,,4.0,,
AMAZONAS,BAGUA,2004,42,28.666666666666668,,,29.0,,,3.0,,
AMAZONAS,BAGUA,2004,43,27.5,,,27.5,,,2.0,,
AMAZONAS,BAGUA,2004,44,29.333333333333332,,,33.0,,,3.0,,
AMAZONAS,BAGUA,2004,45,16.0,,,16.0,,,1.0,,
AMAZONAS,BAGUA,2004,46,28.0,,,28.0,,,1.0,,
AMAZONAS,BAGUA,2004,47,20.0,,,20.0,,,1.0,,
AMAZONAS,BAGUA,2004,52,39.0,,,39.0,,,1.0,,
AMAZONAS,BAGUA,2005,1,19.5,,,19.5,,,2.0,,
AMAZONAS,BAGUA,2005,2,20.0,,,20.0,,,1.0,,
AMAZONAS,BAGUA,2005,3,33.0,,,33.0,,,2.0,,
AMAZONAS,BAGUA,2005,4,35.333333333333336,,,37.0,,,3.0,,
AMAZONAS,BAGUA,2005,5,6.0,,,6.0,,,1.0,,
AMAZONAS,BAGUA,2005,6,30.25,,,33.0,,,4.0,,
AMAZONAS,BAGUA,2005,9,21.25,,,21.5,,,4.0,,
AMAZONAS,BAGUA,2005,10,22.6,,,22.0,,,5.0,,
AMAZONAS,BAGUA,2005,11,32.0,,,32.0,,,1.0,,
AMAZONAS,BAGUA,2005,13,16.5,,,16.5,,,2.0,,
AMAZONAS,BAGUA,2005,14,20.5,,,10.5,,,4.0,,
AMAZONAS,BAGUA,2005,15,26.0,,,26.0,,,1.0,,
AMAZONAS,BAGUA,2005,16,28.0,,,28.0,,,1.0,,
AMAZONAS,BAGUA,2005,17,42.0,,,42.0,,,2.0,,
AMAZONAS,BAGUA,2005,18,33.0,,,33.0,,,1.0,,
AMAZONAS,BAGUA,2005,20,27.333333333333332,,,27.0,,,3.0,,
AMAZONAS,BAGUA,2005,21,18.0,,,18.0,,,1.0,,
AMAZONAS,BAGUA,2005,22,43.0,,,43.0,,,1.0,,
AMAZONAS,BAGUA,2005,23,47.0,,,47.0,,,2.0,,
AMAZONAS,BAGUA,2005,27,13.0,,,13.0,,,1.0,,
AMAZONAS,BAGUA,2005,30,16.0,,,16.0,,,1.0,,
AMAZONAS,BAGUA,2005,31,15.0,,,15.0,,,1.0,,
AMAZONAS,BAGUA,2005,33,38.0,,,38.0,,,2.0,,
AMAZONAS,BAGUA,2005,36,36.0,,,36.0,,,1.0,,
AMAZONAS,BAGUA,2005,40,44.0,,,44.0,,,1.0,,
AMAZONAS,BAGUA,2005,42,37.0,,,37.0,,,1.0,,
AMAZONAS,BAGUA,2006,8,39.0,,,39.0,,,1.0,,
AMAZONAS,BAGUA,2006,11,17.0,,,17.0,,,1.0,,
AMAZONAS,BAGUA,2006,15,12.0,,,12.0,,,1.0,,
AMAZONAS,BAGUA,2006,16,57.5,,,57.5,,,2.0,,
AMAZONAS,BAGUA,2006,18,17.0,,,17.0,,,1.0,,
AMAZONAS,BAGUA,2006,19,45.0,,,45.0,,,2.0,,
AMAZONAS,BAGUA,2006,38,27.0,,,27.0,,,1.0,,
AMAZONAS,BAGUA,2006,43,63.0,,,63.0,,,2.0,,
AMAZONAS,BAGUA,2007,3,20.0,,,20.0,,,1.0,,
AMAZONAS,BAGUA,2007,4,31.0,,,31.0,,,1.0,,
AMAZONAS,BAGUA,2007,6,50.0,,,50.0,,,1.0,,
AMAZONAS,BAGUA,2007,7,10.0,,,10.0,,,2.0,,
AMAZONAS,BAGUA,2007,10,27.5,,,27.5,,,2.0,,
AMAZONAS,BAGUA,2007,12,27.0,,,27.0,,,1.0,,
AMAZONAS,BAGUA,2007,14,39.0,,,39.0,,,2.0,,
AMAZONAS,BAGUA,2007,17,30.0,,,30.0,,,1.0,,
AMAZONAS,BAGUA,2007,21,3.0,,,3.0,,,1.0,,
AMAZONAS,BAGUA,2007,23,18.0,,,18.0,,,1.0,,
AMAZONAS,BAGUA,2007,26,13.0,,,13.0,,,1.0,,
AMAZONAS,BAGUA,2007,36,41.0,,,41.0,,,1.0,,
AMAZONAS,BAGUA,2007,38,58.0,,,58.0,,,1.0,,
AMAZONAS,BAGUA,2007,41,26.0,,,26.0,,,1.0,,
AMAZONAS,BAGUA,2007,42,36.666666666666664,,,30.0,,,3.0,,
AMAZONAS,BAGUA,2007,43,29.5,,,29.5,,,2.0,,
AMAZONAS,BAGUA,2007,47,20.666666666666668,,,21.0,,,3.0,,
AMAZONAS,BAGUA,2007,48,27.5,,,27.5,,,2.0,,
AMAZONAS,BAGUA,2007,49,38.666666666666664,,,42.0,,,3.0,,
AMAZONAS,BAGUA,2007,50,25.0,,,15.0,,,3.0,,
AMAZONAS,BAGUA,2007,52,23.0,,,23.0,,,1.0,,
